ArticleID,Title,PublishedDate,Source,URL,Summary,IngestedAt
38237,A Moonlit Earth as Seen From Artemis II,2026-06-04T04:01:00Z,NASA,https://science.nasa.gov/earth/earth-observatory/a-moonlit-earth-as-seen-from-artemis-ii/,"An astronaut’s photo, taken en route to the Moon, reveals our planet and its place in space in a novel way.",2026-06-04T11:58:28.974430
38236,SpaceX to raise at least $75 billion in IPO,2026-06-04T02:54:32Z,SpaceNews,https://spacenews.com/spacex-to-raise-at-least-75-billion-in-ipo/,"SpaceX plans to raise at least $75 billion in its initial public offering, valuing the company at more than $1.75 trillion. The post SpaceX to raise at least $75 billion in IPO appeared first on SpaceNews.",2026-06-04T11:58:28.990687
38235,"Curiosity Blog, Sols 4908-4912: Goodbye Campo Marte, It’s Been Fun!",2026-06-04T01:28:11Z,NASA,https://science.nasa.gov/blog/curiosity-blog-sols-4908-4912-goodbye-campo-marte-its-been-fun/,"By Susanne P. Schwenzer, Professor of Planetary Mineralogy at The Open University, UK Earth planning date: Friday, May 29, 2026 Drilling always keeps the rover in place for a little while, and our 47th successful drill, “Campo Marte,” was no exception. The team used the time wisely and on top of the drilling, we also […]",2026-06-04T11:58:28.990687
38234,NASA declares end to MAVEN Mars mission,2026-06-04T00:20:49Z,SpaceNews,https://spacenews.com/nasa-declares-end-to-maven-mars-mission/,"NASA has formally ended a Mars mission that has been out of contact for six months while the investigation into the spacecraft’s demise continues. The post NASA declares end to MAVEN Mars mission appeared first on SpaceNews.",2026-06-04T11:58:29.009467
38233,"Space Force evaluating anomaly-related damage, future danger areas",2026-06-03T23:04:56Z,NASASpaceflight,https://www.nasaspaceflight.com/2026/06/eastern-range-blast-danger-areas/,"Space Launch Delta 45 (SLD 45), which operates the Eastern Range, have cleared a major… The post Space Force evaluating anomaly-related damage, future danger areas appeared first on NASASpaceFlight.com.",2026-06-04T11:58:29.016166
38232,AST SpaceMobile sees New Glenn setback delaying initial commercial service into 2027,2026-06-03T21:12:58Z,SpaceNews,https://spacenews.com/ast-spacemobile-sees-new-glenn-setback-delaying-initial-commercial-service-into-2027/,"AST SpaceMobile expects Blue Origin’s recent launchpad explosion will delay its direct-to-smartphone constellation by three to six months, investment bank William Blair said in an equity research note, pushing initial commercial services into the first half of 2027. The post AST SpaceMobile sees New Glenn setback delaying initial commercial service into 2027 appeared first on SpaceNews.",2026-06-04T11:58:29.024335
38231,Artemis III’s remaining solid rocket booster segments shipped from Utah to Florida,2026-06-03T20:37:08Z,NASASpaceflight,https://www.nasaspaceflight.com/2026/06/artemis-iii-srb-shipment/,"While there is some uncertainty regarding timelines and landers, the Artemis III mission — currently… The post Artemis III’s remaining solid rocket booster segments shipped from Utah to Florida appeared first on NASASpaceFlight.com.",2026-06-04T11:58:29.033334
38230,NASA Finds New Way Earth May Have Received Elements Needed for Life,2026-06-03T18:01:00Z,NASA,https://science.nasa.gov/science-research/planetary-science/astrobiology/nasa-finds-new-way-earth-may-have-received-elements-needed-for-life/,"NASA-supported scientists have provided new information about how the early Earth may have acquired some elements necessary for the planet to become habitable. They also suggest a new role for Jupiter in the distribution of these elements throughout the young solar system. The study, published today in Science Advances, examines this history by looking at […]",2026-06-04T11:58:29.054912
38229,"After cooperation on SMILE mission, ESA and China chart parallel but separate paths",2026-06-03T18:20:34Z,SpaceNews,https://spacenews.com/after-cooperation-on-smile-mission-esa-and-china-chart-parallel-but-separate-paths/,"ESA and China recently launched the joint SMILE magnetosphere mission after a decade of cooperation, but despite similar goals, another collaboration appears distant. The post After cooperation on SMILE mission, ESA and China chart parallel but separate paths appeared first on SpaceNews.",2026-06-04T11:58:29.049238
38228,International Sea Level Satellite Observes El Niño Precursor,2026-06-03T17:27:22Z,NASA,https://science.nasa.gov/photojournal/international-sea-level-satellite-observes-el-nino-precursor/,"Description Sea level height data from the international Sentinel-6 Michael Freilich satellite collected from March to May 2026 show higher, warmer water moving from the western Pacific Ocean to just off the coast of Colombia, Ecuador, and Peru. This phenomenon is known as a warm Kelvin wave, signified in this animation of the data by […]",2026-06-04T11:58:29.065816
